number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
9363,Автобус,Остановка,"ЧИЧЕРИНСКАЯ УЛ. УГ. БОТАНИЧЕСКОЙ УЛ. [210, 359]<",ЧИЧЕРИНСКАЯ УЛ. УГ. БОТАНИЧЕСКОЙ УЛ.,"Чичеринская улица, Ботаническая улица","352,356,356ш,463,463А,489,682,683,684,685А,686,687, 0,ПРОЕКТ1,А-2,200,210,344,К-352,354,356А,357,358,359,359А ","59.871600,29.851720"
9364,Автобус,Остановка,ЧКАЛОВСКИЙ ПР.,ЧКАЛОВСКИЙ ПР.,"Пионерская улица, Чкаловский проспект"," 1,14,191,191сп ","59.959100,30.285905"
9365,Автобус,Временная,ЧКАЛОВСКИЙ ПР.,ЧКАЛОВСКИЙ ПР.,"улица Красного Курсанта, Чкаловский проспект",14,"59.957848,30.285871"
9366,Автобус,Остановка,ЧУГУННАЯ УЛ. [33],ЧУГУННАЯ УЛ.,"Полюстровский пр., Чугунная ул.","33, К-17,К-95 ","59.974963,30.375071"
9367,Автобус,Остановка,ЧУГУННАЯ УЛ. [33]<,ЧУГУННАЯ УЛ.,"Полюстровский пр., Чугунная ул.","33, К-17,К-95 ","59.975338,30.374133"
9368,Автобус,Временная,Чебышевская ул,Чебышевская ул,"Ботаническая улица, Чебышевская улица",К-420,"59.870108,29.861139"
9369,Трамвай,Остановка,Чкаловский проспект T (40),ЧКАЛОВСКИЙ ПРОСПЕКТ,"Реки Карповки, Чкаловский","40, 2,21,48 ","59.969339,30.303333"
9370,Трамвай,Остановка,Чкаловский проспект T (40),ЧКАЛОВСКИЙ ПРОСПЕКТ,"набережная реки Карповки, Геслеровский мост","40, 2,21,48 ","59.969180,30.304310"
9371,Автобус,Остановка,ШАМШЕВА УЛ. [],ШАМШЕВА УЛ.,"Шамшева улица, Большой проспект П.С.","10,К-10,25,К-30,К-32,46,К-127,128,К-175,185,К-252, 000,2МБ,С-5,10.,10 А,К-131,К-149,191,К-209,К-346,К-690 ","59.959834,30.301999"
9372,Автобус,Остановка,ШАФИРОВСКИЙ ПРОСПЕКТ УГ. ПИСКАРЁВСКОГО ПР. (тест),ШАФИРОВСКИЙ ПРОСПЕКТ УГ. ПИСКАРЁВСКОГО ПР.,"Пискаревский пр., Руставели ул."," 131,138,153,К-284 ","59.991242,30.434129"
9373,Автобус,Остановка,ШВЕЙЦАРСКАЯ УЛ.,ШВЕЙЦАРСКАЯ УЛ.,"Швейцарская улица, Краснопрудская улица"," 6Л,347 ","59.907470,29.759780"
9374,Автобус,Остановка,ШВЕЙЦАРСКАЯ УЛ. ПО ОРАНИЕНБАУМСКОМУ ПР.,ШВЕЙЦАРСКАЯ УЛ. ПО ОРАНИЕНБАУМСКОМУ ПР.,"Ораниенбаумский проспект, Швейцарская улица","3АЛ,3Л, 0,1Л,4Л,200,К-300,347,348,349,682,683,683А,684,685А,686,687,ПРОЕКТ ","59.903020,29.780970"
9375,Автобус,Остановка,ШВЕЙЦАРСКАЯ УЛ. ПО УЛ. ПОБЕДЫ,ШВЕЙЦАРСКАЯ УЛ. ПО УЛ. ПОБЕДЫ,"Победы ул., Швейцарская ул.","3АЛ,3Л, 0,1Л,К-300,К-343,347,352,К-352,К-404,К-424А ","59.906038,29.772756"
9376,Автобус,Остановка,ШВЕЙЦАРСКАЯ УЛ. ПО УЛ. ПОБЕДЫ [7Л],ШВЕЙЦАРСКАЯ УЛ. ПО УЛ. ПОБЕДЫ,"Победы ул., Швейцарская ул.","7Л, 0,1Л,К-343,347,352,К-352,К-404,К-424А ","59.905557,29.771699"
9377,Автобус,Остановка,"ШВЕЙЦАРСКАЯ УЛ., ПО ОРАНИЕНБАУМСКОМУ ПР. [7Л]","ШВЕЙЦАРСКАЯ УЛ., ПО ОРАНИЕНБАУМСКОМУ ПР.","Ораниенбаумский пр., Швейцарская ул.","7Л, 0,1Л,3АЛ,3Л,4Л,200,347,349,682,683,683А,684,685А,686,687,ПРОЕКТ ","59.902921,29.781366"
9378,Автобус,Остановка,ШЕПЕТОВСКАЯ УЛ. [132],ШЕПЕТОВСКАЯ УЛ.,"Металлистов пр., Шепетовская ул.","132, 15,К-118,К-322 ","59.946083,30.420485"
9379,Автобус,Остановка,ШЕПЕТОВСКАЯ УЛ. [132]<,ШЕПЕТОВСКАЯ УЛ.,"Металлистов пр., Шепетовская ул.","132, 82,К-118,123,К-322 ","59.947200,30.421001"
9380,Автобус,Остановка,"ШИРОКАЯ УЛ., УГ. ОКТЯБРЬСКОГО Б-РА","ШИРОКАЯ УЛ., УГ. ОКТЯБРЬСКОГО Б-РА","Октябрьский бульвар, ул. Конюшенная"," 187,188,273,373,381,384 ","59.721670,30.416700"
9381,Автобус,Остановка,"ШИРОКАЯ УЛ., УГ. ОКТЯБРЬСКОГО БУЛЬВАРА",,"ул. Широкая, Октябрьский бульвар","187,188,273,373,381,382,384,385, 0,186,187А,К-286,К-287,К-342,К-347,370,371,375,376,К-377,378,383,К-402,493,545,  ","59.721656,30.418966"
9382,Автобус,Временная,ШИШМАРЕВСКИЙ ПЕР.,ШИШМАРЕВСКИЙ ПЕР.,"Школьная улица, Шишмарёвский переулок"," 32,211,К-405 ","59.987694,30.284721"
9383,Автобус,Остановка,ШКИПЕРСКИЙ ПРОТОК,ШКИПЕРСКИЙ ПРОТОК,"Гаванская ул., Шкиперский Проток ул.","3М,3МА,6, 000,1,3МБ,С-3,6А,7,К-44,К-62,К-120,К-124,128,151,К-186,К-309,К-350 ","59.934590,30.238590"
9384,Автобус,Остановка,"ШКИПЕРСКИЙ ПРОТОК [1, 6]<",ШКИПЕРСКИЙ ПРОТОК,"Гаванская ул., Шкиперский Проток ул.","3М,3МА,6, 000,1,3МБ,С-3,6А,7,41,К-44,К-62,К-120,К-124,128,152,К-186,К-309,К-350 ","59.934330,30.239021"
9385,Автобус,Остановка,ШКИПЕРСКИЙ ПРОТОК [128],ШКИПЕРСКИЙ ПРОТОК,"Наличная улица, Шкиперский проток","1,7,128,151, 3М,3МА,6А,К-6к,199,К-346,К-359А,К-690 ","59.933054,30.235105"
9386,Автобус,Остановка,ШКИПЕРСКИЙ ПРОТОК [128]<,ШКИПЕРСКИЙ ПРОТОК,"Наличная улица, Шкиперский проток",128,"59.933119,30.236413"
9387,Автобус,Остановка,"ШКИПЕРСКИЙ ПРОТОК, УГ. НАЛИЧНОЙ УЛ.","ШКИПЕРСКИЙ ПРОТОК, УГ. НАЛИЧНОЙ УЛ.","Шкиперский проток, Наличная ул."," 1,6,7,7А,К-30 ","59.933388,30.236508"
9388,Автобус,Остановка,"ШКИПЕРСКИЙ ПРОТОК,УГ. НАЛИЧНОЙ УЛ. - в обратном направлении [7]","ШКИПЕРСКИЙ ПРОТОК,УГ. НАЛИЧНОЙ УЛ. - В ОБРАТНОМ НАПРАВЛЕНИИ","Опочинина ул., Шкиперский Проток ул.",7,"59.933439,30.238150"
9389,Автобус,Остановка,"ШКИПЕРСКИЙ ПРОТОК,УГ. НАЛИЧНОЙ УЛ. []","ШКИПЕРСКИЙ ПРОТОК,УГ. НАЛИЧНОЙ УЛ.","Наличная ул., Шкиперский Проток ул.","1,7,128,152, 3М,3МА,К-6к,7А,К-30,К-154,К-350,К-359Б,К-690,ВО,ВО УК ","59.934167,30.235278"
9390,Автобус,Остановка,ШКОЛА,ШКОЛА,"Комендантская улица, Кавалерийская улица","415ш, 321,321Ш ","60.196657,29.700895"
9391,Автобус,Остановка,ШКОЛА,ШКОЛА,"Кавалерийская улица, Комендантская улица",415ш,"60.196359,29.701109"
9392,Автобус,Остановка,ШКОЛА,ШКОЛА,улица Бадаева,0.209,"59.919275,30.440845"
9393,Автобус,Временная,ШКОЛА,ШКОЛА,"Школьная улица, Заусадебная улица"," 32,211,К-405 ","59.987075,30.262911"
9394,Автобус,Временная,ШКОЛА,ШКОЛА,"проспект Авиаконструкторов, Долгоозёрная улица"," К-14,134Ш,К-158 ","60.017242,30.237747"
9395,Автобус,Временная,ШКОЛА,ШКОЛА,проспект Авиаконструкторов," К-14,134Ш,134Ш.,К-158 ","60.017559,30.238233"
9396,Автобус,Остановка,ШКОЛА (ТЕТС),ШКОЛА,"Жоры Антоненко ул., Морская ул."," 4Л,Б/НОМЕРА ","59.902272,29.816927"
9397,Автобус,Остановка,ШКОЛА (ТЕТС) <,ШКОЛА,"Жоры Антоненко ул., Морская ул.", 4Л ,"59.902153,29.817383"
9398,Автобус,Остановка,"ШКОЛА [115, 115, А]",ШКОЛА,"ул. Полевая, ул. Луговая","115А, 115,К-275,335,335А,337,337А ","59.811400,30.562270"
9399,Автобус,Остановка,ШКОЛА [123],ШКОЛА,Сикейроса ул.,"80,123, 80Х,К-123,К-200,К-208,К-325 ","60.035488,30.338305"
9400,Автобус,Остановка,ШКОЛА [123]<,ШКОЛА,Сикейроса ул.,"80,123, К-58,80Х,К-123,К-200,К-208,К-325 ","60.035242,30.338252"
9401,Автобус,Остановка,ШКОЛА [555]<,ШКОЛА,Выборгское ш.,75,"60.076029,30.274624"
9402,Автобус,Остановка,ШКОЛА [687],"ДЕР. ОРЖИЦЫ, ШКОЛА",,687,"59.756650,29.710180"
9403,Автобус,Остановка,ШКОЛА [687] <,ШКОЛА,,"489,687","59.756070,29.708870"
9404,Автобус,Остановка,ШКОЛА МЕХАНИЗАЦИИ [],ШКОЛА МЕХАНИЗАЦИИ,"Краснофлотское шоссе, улица Пулемётчиков","1Л,2Л,175, 2ЛКр,175А ","59.924980,29.713850"
9405,Автобус,Остановка,ШКОЛА МЕХАНИЗАЦИИ []<,ШКОЛА МЕХАНИЗАЦИИ,"Краснофлотское шоссе, улица Пулемётчиков","1Л,2Л,175, 2ЛКр,175А,200 ","59.924540,29.715660"
9406,Автобус,Остановка,ШКОЛА № 452,ШКОЛА № 452,Загородная улица,"327,332,336,337,337А,387, 00,К-220,К-220Б,328,335,335А,389,438,438З,475 ","59.772915,30.594386"
9407,Автобус,Остановка,ШКОЛА № 452,ШКОЛА № 452,Загородная улица,"327,332,336,337,337А,387, 00,К-220Б,328,335,335А,389,438,438З,475 ","59.772851,30.594118"
9408,Автобус,Остановка,ШКОЛА № 455,ШКОЛА № 455,Тверская улица,"192,328,367,387,392А,544, 00,К-220Б,К-292,К-296,325,326,327,332,335,336,337,337А,362,366,368,369,374,386,389,390,К-391А,392,394,438,438З,475 ","59.744452,30.609069"
9409,Автобус,Остановка,ШКОЛА № 455,ШКОЛА № 455,Тверская улица,"192,328,367,387,392А,544, 00,К-220Б,К-292,К-296,325,326,327,332,335,336,337,337А,361,366,368,369,374,386,389,390,К-391Б,392,394,438,438З,475 ","59.744311,30.608849"
9410,Автобус,Остановка,ШКОЛА № 464,ШКОЛА № 464,"Мичурина ул., Мичурина пер.","338, 0,179 ","59.680948,30.429789"
9411,Автобус,Остановка,ШКОЛА № 464,ШКОЛА № 464,"Мичурина ул., Мичурина пер.","338, 0,179,545 ","59.680938,30.430347"
9412,Автобус,Временная,ШКОЛА № 53,ШКОЛА № 53,"Школьная улица, Шишмарёвский переулок"," 5М,5Ма,32,211 ","59.987819,30.283661"
9413,Автобус,Остановка,ШКОЛА №323,ШКОЛА №323,Приморское ш.,307,"60.053709,29.977686"
9414,Автобус,Остановка,ШКОЛА №323,ШКОЛА №323,Приморское ш.,309,"60.053999,29.978008"
9415,Автобус,Остановка,ШКОЛА №409 [],ШКОЛА №409,"Госпитальный пер., Фуражный пер.","188,380,381, 186,273,К-287,К-347,372,376,К-402 ","59.706480,30.376747"
9416,Автобус,Остановка,ШКОЛА №409 []<,ШКОЛА №409,"Госпитальный пер., Фуражный пер.","188,380,381, 186,273,К-287,К-347,372,376,К-402 ","59.706372,30.377197"
9417,Автобус,Остановка,ШКОЛА №413,ШКОЛА №413,"Волхонское ш., Народная ул.","162,163","59.846340,30.024197"
9418,Автобус,Остановка,ШКОЛА №413,ШКОЛА №413,"Волхонское ш., Народная ул.","162,163","59.846057,30.024219"
9419,Автобус,Остановка,ШКОЛА №434,ШКОЛА №434,"Мосина ул., 2-я Тарховская ул.",307,"60.081833,29.968213"
9420,Автобус,Остановка,ШКОЛА №434,ШКОЛА №434,"Мосина ул., 2-я Тарховская ул.",309,"60.081879,29.968480"
9421,Автобус,Остановка,ШКОЛА №541,ШКОЛА №541,"Володарского ул., Свободы пр.","211,215,306,306А,307,309,310,312,314,315, ,217,К-302,К-305,К-400,К-425 ","60.098821,29.972891"
9422,Автобус,Остановка,ШКОЛА №541,ШКОЛА №541,"Володарского ул., Свободы пр.","211,215,306,307,309,310,311,314,315, ,217,К-302,К-305,К-400,К-425 ","60.098661,29.973362"
9423,Автобус,Остановка,ШКОЛА-ИНТЕРНАТ,ШКОЛА-ИНТЕРНАТ,Ропшинское ш.,"278,348, 0,162,К-329,357,357А ","59.867556,29.958901"
9424,Автобус,Остановка,ШКОЛА-ИНТЕРНАТ <,ШКОЛА-ИНТЕРНАТ,Ропшинское ш.,"278,348, 0,162,К-329,357,357А ","59.867513,29.959255"
9425,Автобус,Остановка,ШКОЛЬНАЯ УЛ.,ШКОЛЬНАЯ УЛ.,"Савушкина ул., Школьная ул.",134,"59.989385,30.196842"
9426,Автобус,Остановка,ШКОЛЬНАЯ УЛ.,ШКОЛЬНАЯ УЛ.,"Генерала Хазова ул., Школьная ул.","375,376,381, 186,188,370,К-376,377 ","59.738128,30.413457"
9427,Автобус,Остановка,ШКОЛЬНАЯ УЛ.,ШКОЛЬНАЯ УЛ.,"ул. Савушкина, ул. Школьная","93,101,110,134Б,170,211,216, 00,002,32,93Х,112,120,134А,134Ш,134Ш.,К-206,К-210,К-210А,К-232,К-305,К-305а,К-400,К-405,К-417,К-425 ","59.990100,30.193981"
9428,Автобус,Остановка,ШКОЛЬНАЯ УЛ.,ШКОЛЬНАЯ УЛ.,"ул. Савушкина, ул. Школьная","101,101А,110,134А,134Б,211,216,К-308, 002,112,120,134Ш,193,199,К-206,К-210,К-210А,К-232,К-305,К-305а,К-387,К-400,К-405,К-417,К-425 ","59.989794,30.193903"
9429,Автобус,Остановка,ШКОЛЬНАЯ УЛ.,ШКОЛЬНАЯ УЛ.,"Савушкина ул., Школьная ул."," 93,101,110,120,170,К-206,211,216,К-308,К-387 ","59.989844,30.196009"
9430,Автобус,Остановка,ШКОЛЬНАЯ УЛ. (ПОСАДКИ И ВЫХОДА НЕТ),ШКОЛЬНАЯ УЛ.,"Школьная ул., Приморское ш.","32,К-690, К-93,К-133 ","59.992376,30.201652"
9431,Автобус,Остановка,ШКОЛЬНАЯ УЛ. [101],ШКОЛЬНАЯ УЛ.,"Савушкина ул., Школьная ул."," 101,110,120,134А,134Б,К-206,211,216,К-387 ","59.989465,30.196253"
9432,Автобус,Остановка,ШКОЛЬНАЯ УЛ. [187],ШКОЛЬНАЯ УЛ.,"Октябрьский бул., Школьная ул.","187, 186,187А,188,К-286,370,371,375,376,377,378,382,545,  ","59.726202,30.402674"
9433,Автобус,Остановка,ШКОЛЬНАЯ УЛ. [187]<,ШКОЛЬНАЯ УЛ.,"Октябрьский бульвар, ул. Школьная","187, 186сп,187А,188,К-286,370,371,376,377,378,382,545,  ","59.726980,30.400920"
9434,Автобус,Остановка,ШКОЛЬНАЯ УЛ. [],ШКОЛЬНАЯ УЛ.,"Школьная ул., Карельский пер.","32,211, 5М,5Ма,79,94,98,122,134Ш,134Ш.,193,199,К-210,К-405 ","59.988576,30.295363"
9435,Автобус,Остановка,ШКОЛЬНАЯ УЛ. [],ШКОЛЬНАЯ УЛ.,"Ленинградская ул., Школьная ул.",187.371,"59.730847,30.405436"
9436,Автобус,Остановка,ШКОЛЬНАЯ УЛ. []<,ШКОЛЬНАЯ УЛ.,"Ленинградская ул., Школьная ул.",371,"59.730025,30.406466"
9437,Автобус,Остановка,ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА № 89,ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА № 89,"Школьная улица, бульвар Алексея Толстого","186,375,376,377,381,385, 0,188,273,К-347,370,371,373,К-376,К-377,378,380,382,383,384,545 ","59.732680,30.408970"
9438,Автобус,Остановка,ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА № 89,ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА № 89,"Школьная ул., Алексея Толстого бул.","186,375,376,377,381,385, 0,187,К-347,371,К-376,К-377 ","59.732444,30.408417"
9439,Автобус,Остановка,ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА [186],ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА,"Школьная ул., Генерала Хазова ул.","186,375,377,385, 0,187,188,273,К-347,370,373,376,К-377,378,380,381,382,383,384,545 ","59.737725,30.412083"
9440,Автобус,Остановка,ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА [186]<,ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА,"Генерала Хазова ул., Школьная ул.","186,376,377,381,385, 0,К-347,370,375,К-376,К-377 ","59.738111,30.410889"
9441,Автобус,Временная,"ШКОЛЬНАЯ УЛ., 11","ШКОЛЬНАЯ УЛ., 11","Школьная улица, набережная Чёрной речки"," 5М,5Ма,32 ","59.988504,30.292307"
9442,Автобус,Остановка,"ШКОЛЬНАЯ УЛ., 128","ШКОЛЬНАЯ УЛ., 128","Школьная ул., Приморское ш.","93,К-133,134А,134Ш,170, 00,002,32,93Х,110,120,134Ш.,193,199,211,216,К-233 ","59.991314,30.197768"
9443,Автобус,Временная,"ШКОЛЬНАЯ УЛ., 39","ШКОЛЬНАЯ УЛ., 39","Школьная улица, Заусадебная улица"," 5М,5Ма,32 ","59.987213,30.262571"
9444,Автобус,Остановка,ШКОЛЬНАЯ УЛ.[93],ШКОЛЬНАЯ УЛ.,"Савушкина ул., Школьная ул.",,"59.990190,30.195040"
9445,Автобус,Остановка,"ШКОЛЬНАЯ, 51 [186]<","ШКОЛЬНАЯ, 51","Школьная ул., Алексея Толстого бул.","186,375,377,385, 0,273,К-347,370,371,373,376,К-377,378,380,381,382,383,384,545 ","59.735583,30.412250"
9446,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР., УГ. ПРИБРЕЖНОЙ УЛ.",,"Шлиссельбургский проспект, Прибрежная улица"," 3М,3МА,3МБ,С-3,К-5,СП006,115Б,К-268,К-272,К-275 ","59.836500,30.507021"
9447,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,1 [115, 115, А]","ШЛИССЕЛЬБУРГСКИЙ ПР.,1","Шлиссельбургский пр., Караваевская ул.","3М,3МБ,51,115,115А,189,327,328, 0,00,3М/,3МА,С-3,К-5,11,51А,53,К-53,97,К-97,К-170,К-220Б,К-239,328А,329,396,51А 2  ","59.841672,30.488653"
9448,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,1 [115, 115, А]<","ШЛИССЕЛЬБУРГСКИЙ ПР.,1","Шлиссельбургский пр., ул. Караваевская","3М,3МБ,51,115,115А,189,327,328, 00,0,3М/,3МА,С-3,К-5,11,51Б,53,К-53,97,К-97,К-170,К-220Б,К-239,328А,329,396,51А 2  ","59.841850,30.489010"
9449,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,47 [115, 115, А]","ШЛИССЕЛЬБУРГСКИЙ ПР.,47","Шлиссельбургский пр., ул. Веры Фигнер","115,115А,189,327,328, 0,00,115Б,К-220Б,К-268,К-272,К-275,328А,329,396 ","59.832667,30.517996"
9450,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,47[115, 115, А]<","ШЛИССЕЛЬБУРГСКИЙ ПР.,47","Шлиссельбургский проспект, улица Веры Фигнер","115,115А,189,327,328, 0,00,51,115Б,К-220Б,К-268,К-272,К-275,328А,329,396 ","59.832516,30.519319"
9451,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,УГ. ПРИБРЕЖНОЙ УЛ. [115, 115, А]","ШЛИССЕЛЬБУРГСКИЙ ПР.,УГ. ПРИБРЕЖНОЙ УЛ.","Шлиссельбургский пр., ул. Прибрежная","115,115А,189,327,328, 00,0,СП006,115Б,К-220,К-220Б,К-268,К-272,К-275,328А,329,396 ","59.835430,30.509480"
9452,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,УГ. ПРИБРЕЖНОЙ УЛ. [115, 115, А]<","ШЛИССЕЛЬБУРГСКИЙ ПР.,УГ. ПРИБРЕЖНОЙ УЛ.","Прибрежная ул., Шлиссельбургский пр.","115,115А,189,327,328, 0,00,3М/,3М,3МБ,К-5,51,115Б,К-185,К-220Б,К-239,328А,329,396,51А 2  ","59.835479,30.508179"
9453,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,ШКОЛА [115, 115, А]","ШЛИССЕЛЬБУРГСКИЙ ПР.,ШКОЛА","Шлиссельбургский пр., ул. Веры Фигнер","115,115А,189,327,328, 00,0,115Б,К-220Б,К-268,К-272,К-275,328А,329,396 ","59.833682,30.514901"
9454,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКИЙ ПР.,ШКОЛА [115, 115, А]<","ШЛИССЕЛЬБУРГСКИЙ ПР.,ШКОЛА","Шлиссельбургский пр., ул. Веры Фигнер","115,115А,189,327,328, 00,0,51,115Б,К-220Б,К-268,К-272,К-275,328А,329,396 ","59.834110,30.514400"
9455,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКОЕ ШОССЕ, 54 []","ШЛИССЕЛЬБУРГСКОЕ ШОССЕ, 54","Шлиссельбургское шоссе, Садовая улица","336, 189,335 ","59.785428,30.658046"
9456,Автобус,Остановка,"ШЛИССЕЛЬбУРГСКИЙ ПР.,УНИВЕРСАМ [115, 115, А]","ШЛИССЕЛЬБУРГСКИЙ ПР.,УНИВЕРСАМ",Шлиссельбургский пр.,"3М,3МБ,51,115,115А,189,327,328, 00,0,3М/,3МА,С-3,К-5,11,51А,53,К-53,97,К-97,К-170,К-220Б,К-239,328А,329,396,51А 2  ","59.839787,30.495404"
9457,Автобус,Остановка,"ШЛИССЕЛЬбУРГСКИЙ ПР.,УНИВЕРСАМ [115, 115, А]<","ШЛИССЕЛЬБУРГСКИЙ ПР.,УНИВЕРСАМ","Шлиссельбургский пр., Рыбацкий пр.","3М,3МБ,51,115,115А,189,327,328, 00,0,3М/,3МА,С-3,К-5,11,51Б,53,К-53,97,К-97,К-170,К-220Б,К-239,328А,329,396,51А 2  ","59.840270,30.494670"
9458,Автобус,Остановка,ШОССЕ ПОДБЕЛЬСКОГО,ШОССЕ ПОДБЕЛЬСКОГО,"шоссе Подбельского, ул. Удаловская"," К-291,К-294,К-354 ","59.722317,30.431432"
9459,Автобус,Остановка,ШОССЕ ПОДБЕЛЬСКОГО,ШОССЕ ПОДБЕЛЬСКОГО,"шоссе Подбельского, ул. Новодеревенская","374, К-294,370,383 ","59.722202,30.431710"
9460,Автобус,Остановка,ШОССЕ ПОДБЕЛЬСКОГО,ШОССЕ ПОДБЕЛЬСКОГО,"шоссе Подбельского, ул. Удаловская","К-291,К-294,374,375,375А, 0,179,К-202,325,К-354,388 ","59.722170,30.431544"
9461,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ,ШОССЕ РЕВОЛЮЦИИ,"улица Коммуны, шоссе Революции","37,102,103,153, 28,К-77,К-92,К-102,164,168 ","59.967442,30.482999"
9462,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ,ШОССЕ РЕВОЛЮЦИИ,"Энергетиков пр., Революции ш.","82,123,136, СП005,15,К-17,К-32,102,103,К-123,153,174,К-271,К-369 ","59.959454,30.437760"
9463,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ [132],ШОССЕ РЕВОЛЮЦИИ,"Металлистов пр., Революции ш.","28,132,183, К-28к,К-32,К-51,55,К-271,К-322 ","59.959975,30.422611"
9464,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ [132]<,ШОССЕ РЕВОЛЮЦИИ,"Металлистов пр., Революции ш.","132, 22,55,К-118,174 ","59.959012,30.422256"
9465,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ [22, 123, 136]",ШОССЕ РЕВОЛЮЦИИ,"Революции ш., Энергетиков пр.","22,28,37,106,174,183, 22/,К-28к,К-32,К-83,К-106,106Х,К-137,К-163,К-271,К-289,К-389,К-530 ","59.960259,30.436114"
9466,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ [22, 123, 136]<",ШОССЕ РЕВОЛЮЦИИ,"Энергетиков пр., Революции ш.","22,82,102,103,106,123,131,136,183, СП005,К-17,22/,46,55,К-83,К-102,К-106,106Х,К-123,138,153,185,К-264,К-271,К-289,К-369,К-389 ","59.961224,30.438250"
9467,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ [80, 123,136]",ШОССЕ РЕВОЛЮЦИИ,"Энергетиков пр., Революции ш."," 37,46,82 ","59.959479,30.437668"
9468,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ УГ. ПР. ЭНЕРГЕТИКОВ [103, 102]",ШОССЕ РЕВОЛЮЦИИ УГ. ПР. ЭНЕРГЕТИКОВ,"шоссе Революции, проспект Энергетиков"," 102,103,131 ","59.960173,30.441100"
9469,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ УГ. ПР. ЭНЕРГЕТИКОВ [103, 102]<",ШОССЕ РЕВОЛЮЦИИ УГ. ПР. ЭНЕРГЕТИКОВ,"Энергетиков пр., Революции ш.",103,"59.961171,30.438224"
9470,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, 102","ШОССЕ РЕВОЛЮЦИИ, 102","Революции ш., Химиков ул.","37,102,103,164, К-102 ","59.964228,30.467790"
9471,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, 102","ШОССЕ РЕВОЛЮЦИИ, 102","Революции ш., Потапова ул.",103,"59.964116,30.467017"
9472,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, 102","ШОССЕ РЕВОЛЮЦИИ, 102","Революции ш., Потапова ул.","37,102,103,153,164, 28,К-102 ","59.964024,30.467243"
9473,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, 3","ШОССЕ РЕВОЛЮЦИИ, 3","Революции ш., Пискарёвский пр.","37,106, 55,105,К-106,106Х,К-137,181,183,К-530 ","59.958940,30.408690"
9474,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, УГ. ПР. ЭНЕРГЕТИКОВ","ШОССЕ РЕВОЛЮЦИИ, УГ. ПР. ЭНЕРГЕТИКОВ","Революции ш., Энергетиков пр.",106,"59.960353,30.436181"
9475,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, УГ. ПР. ЭНЕРГЕТИКОВ","ШОССЕ РЕВОЛЮЦИИ, УГ. ПР. ЭНЕРГЕТИКОВ","Революции ш., Энергетиков пр.",106,"59.960100,30.436527"
9476,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ,116 [153, 102, 103]","ШОССЕ РЕВОЛЮЦИИ,116","Революции ш., ш. Революции","37,102,103,153, 28,К-77,К-102,164,168,К-679 ","59.965397,30.474931"
9477,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ,116 [153, 102, 103]<","ШОССЕ РЕВОЛЮЦИИ,116","Революции ш., ш. Революции","37,102,103, К-102,168,К-679 ","59.965759,30.476181"
9478,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ,88 [153, 102, 103]","ШОССЕ РЕВОЛЮЦИИ,88","Революции ш., Потапова ул.","28,37,102,103, К-102,164,К-284,К-530,К-679 ","59.962676,30.464025"
